0	Title	Time	Command	Command	Cmd	Seq	Telemetry	Telemetry	Expected	Units	Telemetry	Other	Crit	Description	Notes	RT	Tlm	Min	SIM
 	 	 	 	 	 	 	DEA +6 V A 	1DEP0AVO 	$0.0\pm0.5$ 	V									
 	 	 	 	 	 	 	DEA -6 V A 	1DEN0AVO 	$0.0\pm0.5$ 	V									
 	 	 	 	 	 	 	DEA -15 V A 	1DEN1AVO 	$0.0\pm0.5$ 	V									
3	Heater states																		
3.1	Verify heaters are not	1					DA HTR ON/OFF B	1DAHTBON	OFF				1	Verify housing heater is off			"1,2,4,6"	60k	
	powered on side B																		
							DA HTR EN/DIS B	1DAHTBEN	DIS				2	Verify housing heater disabled					
							DA BAKE OUT ON/OFF B	1DABOBON	OFF				1	Verify bakeout heater is off					
							DA BAKE OUT EN/DIS B	1DABOBEN	DIS				2	Verify bakeout heater disabled					
4	Turn on DEA-B input\\power																		
4.1	Enable DEA PS B 	1	DEA PS B En 	1DEPSBEN 	 	 	DEA B ENB/DIS 	1DEPSBX 	ENB 	 	 	 	2	Ignore if DPA unpowered	 	 	"1,2,4,6"		
4.2	DEA Power B On 	1	DEA PS On B 	1DEPSBON 	 	 	 	1DEPSB 	ON 	 	 	 	2	Ignore if DPA unpowered	 	 	"1,2,4,6"		
 	 	 	 	 	 	 	DEA Input V B	1DE28BVO 	25.0--34.0	V 	 	 	2	Expect DEA side B power					
 	 	 	 	 	 	 	DEA +28 V B 	1DEP3BVO 	$>26.0$ 	V 	 	 	2	"$24\pm4$~W, current is noisy"					
 	 	 	 	 	 	 	DEA +24 V B 	1DEP2BVO 	24.0--26.0 	V 	 	 	1	so average needed (see Figures).					
 	 	 	 	 	 	 	DEA +15 V B 	1DEP1BVO 	15.0--17.0 	V 	 	 	2						
 	 	 	 	 	 	 	DEA +6 V B 	1DEP0BVO 	5.6--6.7 	V 	 	 	2						
 	 	 	 	 	 	 	DEA -6 V B 	1DEN0BVO 	$-7$--$-5.7$	V 	 	 	2						
 	 	 	 	 	 	 	DEA -15 V B 	1DEN1BVO 	$-17$--$-15$	V 	 	 	2						
 	 	 	 	 		 	DEA Input I B	1DEICBCU 	0.7--0.9 	A 	 	 	2						
4.3	Verify DEA A is off 							1DEPSAX	DSAB					Ignore if DPA unpowered			"1,2,4,6"		
								1DEPSA	OFF					Ignore if DPA unpowered					
		 	 	 	 	 	DEA Input V A	1DE28AVO 	25.0--34.0 	V 	 	 	 	 	 	 			
 	 	 	 	 	 	 	DEA +28 V A 	1DEP3AVO 	$0.0\pm0.5$ 	V									
 	 	 	 	 	 	 	DEA +24 V A 	1DEP2AVO 	$0.0\pm0.5$ 	V									
 	 	 	 	 	 	 	DEA +15 V A 	1DEP1AVO 	$0.0\pm0.5$ 	V									
 	 	 	 	 	 	 	DEA +6 V A 	1DEP0AVO 	$0.0\pm0.5$ 	V									
 	 	 	 	 	 	 	DEA -6 V A 	1DEN0AVO 	$0.0\pm0.5$ 	V									
 	 	 	 	 	 	 	DEA -15 V A 	1DEN1AVO 	$0.0\pm0.5$ 	V									
5	Warm boot BEP																		
5.1	Set Boot modifier off    		DPA FS Boot Modifier	1BMODIBM(0) 	            	            	            	            	            	      	            	            	            	disables boot from uplink	LF 4.4.1    	   	"1,2,4,6"	   	      
5.2	Set warm boot flag       		DPA Warm Boot	1WRMBTSB(1) 	            	            	            	            	            	      	            	            	            	Warm boot active BEP     	LF 4.4.1    	   	"1,2,4,6"	   	      
5.3	Halt active BEP                 		Halt BEP	1RSETIRT(1) 	            	            	            	            	            	      	            	            	            	Hold active BEP reset line	LF 4.4.1    	   	"1,2,4,6"	   	      
5.4	Restart active BEP                 		Restart BEP 	1RSETIRT(0) 	            	            	            	            	            	      	            	            	            	Release BEP reset line	  	   	"1,2,4,6"	   	      
5.5	Check BEP Boot 	2	            	            	            	            	            	            	            	     	Check bepStartupMessage:   	            	A   	   	   	   	"1,2,4,6"	 	 
   	                         	    	            	            	            	            	            	            	            	      	bepTickCounter $< 10$; version =??;	            	A  	version \# depends on	   	      	 	 	 
   	                         	    	            	            	            	            	            	            	            	      	"warmbootFlag = 1, patchValidFlag =1         "	            	A   	loaded patches (if any)	   	      	 	 	 
   	                         	    	            	            	            	            	            	            	            	      	Check swHousekeeping messages:	            	   	   	   	      	 	 	 
   	                         	    	            	            	            	            	            	            	            	      	startingBepTickCounter $< 10$;            	            	B  	   	   	      	 	 	 
   	                         	    	            	            	            	            	            	            	            	      	endingBepTickCounter=  	            	B  	{\bf DEA Interface A/D}	   	      	 	 	 
   	                         	    	            	            	            	            	            	            	            	      	$=$startingbeptickcounter+640	            	  	{\bf in high-res mode}	   	      	 	 	 
   	                         	    	            	            	            	            	            	            	            	      	version =?? 	            	A 		   	      	 	 	 
5.6	Check HW LEDs    	1	            	            	            	      	BEP Select 	1STAT4ST    	0or1          	     	            	            	2	0/1 indicates BEP A/B selected 	            	  	"1,2,4,6   "	   	      
  	   	    	            	            	            	      	BEP FIFO Not Full 	1STAT6ST    	1	     	            	            	2	1 means FIFO not full 	            	   	   	   	      
  	   	    	            	            	            	      	BEP FIFO Not Empty 	1STAT7ST    	0	     	            	            	2	1 means FIFO not empty 	            	   	   	   	      
5.7	Check SW LEDs    	1	            	            	            	      	BEP initialization 	1STAT3ST    	0	     	            	            	2	0 means BEP SW is running 	            	  	"1,2,4,6"	   	      
   	   	    	            	            	            	      	Watchdog boot 	1STAT2ST    	1	     	            	            	2	1 means no watchdog boot 	            	   	   	   	      
   	   	    	            	            	            	      	Science run status	1STAT1ST    	1	     	            	            	2	1 means science idle 	            	   	   	   	      
   	   	    	            	            	            	      	  	1STAT0ST    	0or1          	     	            	            	2	bit toggles $\Rightarrow$ BEP is running	            	   	   	   	      
6	Start DEA Interface\\Housekeeping																		
6.1	Load Board 11 DEA Hkp\\	1	loadDeaBlock	WD00001024							Check cmdResult==OK\\commandEcho==225		B	Monitor FP temp and DEA voltages		Y	"1,2"	60k	
6.2	Start DEA Hkp run\\	1	startDea	XDZ0000005							Check cmdResult==OK\\commandEcho==18		B			Y	"1,2"	60k	
7	Start FP temperature\\control																		
7.1	set FP temp to $-122^\circ$C\\	1	changeConfigSetting	WSFTNEG123							Check cmdResult==OK\\commandEcho==6365		A			Y	"1,2"	60k	
7.2	set FP temp to $-120^\circ$C\\	2	changeConfigSetting	WSFTNEG121							Check cmdResult==OK\\commandEcho==1220		A			Y	"1,2"	60k	
8	Power video boards\\from DEA-B													Abort if DEA-B heaters on or 1DEPSB==OFF					
8.1a	"Set I0,S0 relays to DEA-B"	1	changeConfigSetting	WS\_RELAY\_0							Check cmdResult==OK\\commandEcho==14429	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.1b	Power up I0	1	changeConfigSetting	WSPOW00100							Check cmdResult==OK\\commandEcho==14439	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.1c	Power up S0	1	changeConfigSetting	WSPOW01100							Check cmdResult==OK\\commandEcho==14440	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.2a	"Set I1,S1 relays to DEA-B"	1	changeConfigSetting	WS\_RELAY\_1							Check cmdResult==OK\\commandEcho==14430	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.2b	Power up I1	1	changeConfigSetting	WSPOW01300							Check cmdResult==OK\\commandEcho==14443	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.2c	Power up S1	1	changeConfigSetting	WSPOW03300							Check cmdResult==OK\\commandEcho==14445	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.3a	"Set I2,S3 relays to DEA-B"	1	changeConfigSetting	WS\_RELAY\_2							Check cmdResult==OK\\commandEcho==14433	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.3b	Power up I2	1	changeConfigSetting	WSPOW03700							Check cmdResult==OK\\commandEcho==14446	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.3c	Power up S3	1	changeConfigSetting	WSPOW0B700							Check cmdResult==OK\\commandEcho==14448	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.4a	"Set I3,S2 relays to DEA-B"	1	changeConfigSetting	WS\_RELAY\_3							Check cmdResult==OK\\commandEcho==14434	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.4b	Power up I3	1	changeConfigSetting	WSPOW0BF00							Check cmdResult==OK\\commandEcho==14451	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.4c	Power up S2	1	changeConfigSetting	WSPOW0FF00							Check cmdResult==OK\\commandEcho==14453	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.5a	"Set S4,S5 relays to DEA-B"	1	changeConfigSetting	WS\_RELAY\_4							Check cmdResult==OK\\commandEcho==14436	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.5b	Power up S4	1	changeConfigSetting	WSPOW1FF00							Check cmdResult==OK\\commandEcho==14454	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
8.5c	Power up S5	1	changeConfigSetting	WSPOW3FF00							Check cmdResult==OK\\commandEcho==14457	1DEPSB	A	"Wait 60 secs, then check that 1DEPSB=ON"		Y	"1,2"	60k	
9	Power up FEPs																		
9.1	Power up all FEPs\\	2	changeConfigSetting	WSFEPALLUP							Verify cmdResult==OK\\commandEcho 89		A	Messages:		Y	"1,2"	60k	
												pmon	A	30 FEP\_WRITEMEM					
												pmon	A	6 FEP\_EXECMEM					
												pmon	A	6 FEPMAN\_POWERON					
												pmon	A	6 FEPMAN\_STARTLOAD					
												pmon	A	6 FEPMAN\_ENDLOAD					
							DPA Input I A	1DPICACU	1.1{--}1.6	A				Should be valid for BEP A or B					
							DPA Input I B	1DPICBCU	1.1{--}1.6	A				Should be valid for BEP A or B					
9.2	Dump System Config.\\	1	dumpSysConfig	RS\_0000001							Verify cmdResult==OK\\commandEcho 66		B			Y	"1,2"	60k	
10	CC Science run\\on ACIS-I													Skip if any of the video boards failed to power on in step 8.					
10.1	Load Faint CC pblock\\	1	loadCcBlock	WC0015A014							Verify cmdResult==OK\\commandEcho 15235		A			Y	"1,2"	60k	
10.2	Start bias-only run\\	25	startScience	X1Z0000005							Verify cmdResult==OK\\commandEcho 48	scienceReport	A	Verify terminationCode==29\\in scienceReport		Y	"1,2"	60k	
														Wait for completion					
														of science run.					
11	CC Science run\\on ACIS-S													Skip if any of the video boards failed to power on in step 8.					
11.1	Load Faint CC pblock\\	1	loadCcBlock	WC00110024							Verify cmdResult==OK\\commandEcho 11461		A			Y	"1,2"	60k	
11.2	Start bias-only run\\	25	startScience	X1Z0000005							Verify cmdResult==OK\\commandEcho 48	scienceReport	A	Verify terminationCode==29\\in scienceReport		Y	"1,2"	60k	
														Wait for completion					
														of science run.					
12	TE Science run\\on ACIS-I													Skip if any video boards unpowered/not enough comm time.					
12.1	Load Faint TE pblock\\	1	loadTeBlock	WT00C66014							Verify cmdResult==OK\\commandEcho 14458		A			Y	"1,2"	60k	
12.2	Start bias-only run\\	25	startScience	X2Z0000005							Verify cmdResult==OK\\commandEcho 48	scienceReport	A	Verify terminationCode==2\\in scienceReport		Y	"1,2"	60k	
														Wait for completion					
														of science run.					
13	TE Science run\\on ACIS-S													Skip if any video boards unpowered/not enough comm time.					
13.1	Load Faint TE pblock\\	1	loadTeBlock	WT00C68014							Verify cmdResult==OK\\commandEcho 14460		A			Y	"1,2"	60k	
13.2	Start bias-only run\\	25	startScience	X2Z0000005							Verify cmdResult==OK\\commandEcho 48	scienceReport	A	Verify terminationCode==2\\in scienceReport		Y	"1,2"	60k	
														Wait for completion					
														of science run.					
14	Power down all boards																		
14.1	Power down all video\\ boards and FEPs	1	changeConfigSetting	WSPOW00000							Verify cmdResult==OK\\commandEcho 773		A			Y	"1,2"	60k	
							DEA Input I B	1DEICBCU	0.7--0.9	A			2	Noisy current; average needed					
														Messages:					
												pmon	A	10 DEACCD\_POWEROFF					
												pmon	A	6 FEPMAN\_POWEROFF					
							DPA Input I A	1DPICACU	0.4{--}0.6	A									
							DPA Input I B	1DPICBCU	0.4{--}0.6	A									
12.2	Dump System Config.	1	dumpSysConfig	RS\_0000001							Check cmdResult==OK\\commandEcho==66		B			Y	"1,2"	60k	
